"01p07nea","06p07nea","94p07nea"
-0.220738292,-0.458120883,-0.347782016
-0.347839177,-0.465378881,-0.210718036
-0.355585635,-0.262425542,-0.008620799
-0.261227548,-0.041000992,0.074242175
-0.116898537,0.055550426,0.07359612
0.012934059,0.009012654,0.038463473
0.077670336,-0.124239564,0.087655723
0.092416883,-0.187729716,0.20462364
0.046426378,-0.215351343,0.245834172
-0.000491194,-0.178078473,0.128595054
-0.037088342,-0.04825411,-0.09598577
-0.053817011,0.127897024,-0.239321411
0.013186753,0.368805826,-0.197249413
0.13406384,0.549467802,0.017398044
0.30742079,0.675636888,0.337759852
0.423766494,0.655683458,0.565115571
0.457422376,0.486801565,0.577385306
0.38184911,0.26465553,0.379264653
0.193678856,-0.038975775,-0.034586698
-0.035500295,-0.273455918,-0.398457229
-0.359601617,-0.558480501,-0.681816161
-0.614006042,-0.716538787,-0.731359184
-0.757047355,-0.723594606,-0.63400352
-0.625484884,-0.540203154,-0.43107444
-0.305708528,-0.183801055,-0.094329
0.063939452,0.161187887,0.206783414
0.381461561,0.54145509,0.519804716
0.505544066,0.682982802,0.651477039
0.572734952,0.720782995,0.685285568
0.470397234,0.54997611,0.487125516
0.302137613,0.344214916,0.080482781
0.077716708,0.206444383,-0.258832097
-0.14965564,0.006590068,-0.398617148
-0.279066265,-0.177658558,-0.246174932
-0.36899215,-0.482116222,0.001889989
-0.325339556,-0.651536226,0.218762219
-0.261849701,-0.674710691,0.36062032
-0.176085293,-0.467257142,0.373764396
-0.135310709,-0.104480863,0.220882118
-0.172444761,0.152923942,-0.097192764
-0.178818226,0.370993018,-0.405969083
-0.164158344,0.392135561,-0.507570088
-0.068815887,0.374783218,-0.383803248
0.041984409,0.298428118,-0.136080623
0.126534939,0.169696748,0.068547904
0.172778845,0.015728079,0.163241565
0.134733558,-0.23688674,0.186261356
0.063301027,-0.390842974,0.083523393
-0.103204131,-0.535913944,-0.130101681
-0.298441112,-0.571511388,-0.324772775
-0.368578315,-0.524513125,-0.386513352
-0.241818309,-0.397713482,-0.264962614
0.11299324,-0.073079467,-0.061539896
0.438148379,0.268765748,-0.013587236
0.53361088,0.550083458,-0.02339869
0.321624696,0.582999349,0.055570275
-0.04040128,0.36657989,0.267017722
-0.314059019,-0.024185318,0.445142925
-0.446264923,-0.494344831,0.359127522
-0.413858056,-0.765021622,-0.019736722
-0.367303491,-0.769072652,-0.512705028
-0.303846776,-0.495452106,-0.74703145
-0.194852412,-0.072621703,-0.632566273
-0.057495214,0.299485266,-0.289440751
0.133031189,0.595748425,0.176977932
0.270437539,0.738113284,0.48141849
0.381309628,0.669442415,0.574476421
0.402031183,0.396639228,0.436824024
0.357079566,-0.023933798,0.167794406
0.252311707,-0.322793067,-0.018637165
0.079929531,-0.469161034,-0.115632832
-0.045850042,-0.351972997,-0.094338
-0.148941338,-0.11648488,-0.111757934
-0.174633205,0.044875607,-0.157148898
-0.108197808,0.214231431,-0.145999789
0.036813579,0.317942023,-0.027262792
0.248170912,0.545420229,0.249769509
0.37907052,0.695967436,0.4625476
0.288624167,0.693335652,0.533372104
-0.035640657,0.417767107,0.370278597
-0.358801663,-0.038654342,-0.017725646
-0.418256402,-0.325264931,-0.330615997
-0.268883407,-0.488130152,-0.509776115
-0.079891503,-0.373445213,-0.464359164
0.009739738,-0.236729503,-0.273426712
0.090980053,-0.074204922,-0.070971549
0.319623709,0.084043741,0.134643555
0.493872702,0.07293582,0.26378125
0.555648386,0.075895429,0.364149451
0.393323839,-0.016043611,0.34566772
0.248210311,0.24149543,0.2716133
0.170661211,0.66418457,0.158778071
0.068516552,1.116972923,0.015151702
-0.019448169,1.433300018,-0.019385464
-0.346022069,1.027500153,-0.061013393
-0.621729493,0.062387872,-0.039866634
-1.028997421,-1.609579086,-0.102695346
-1.258907318,-3.012086868,-0.23919487
-1.10077858,-3.515327454,-0.470455647
-0.444690585,-2.531587601,-0.660721302
0.503306508,-0.556555748,-0.67348969
0.977350771,1.230265617,-0.558427095
0.967327178,2.349921227,-0.243060887
0.43070066,2.093053818,0.023911044
0.30832094,1.570405006,0.342580736
0.609448791,0.92093277,0.561944127
1.070243835,0.877677441,0.693022966
1.215745926,1.1355896,0.689385653
0.499764979,1.149961472,0.516513705
-0.585192442,0.793086469,0.297535896
-1.876857758,-0.532443941,-0.031125307
-2.447901726,-1.776889801,-0.239183664
-2.306711197,-3.01417923,-0.377427936
-1.322687149,-3.248698235,-0.340815127
0.056485668,-2.643228531,-0.201936245
1.129277229,-1.402614594,-0.082915068
1.882579803,0.333524048,0.01659786
1.865403175,1.719903946,0.03056512
1.574536324,2.750185966,0.040461719
0.865349114,2.620236397,0.021218434
0.029278249,1.831262589,-0.024678137
-0.75015223,0.447080255,-0.083310306
-1.302868843,-0.774402499,-0.125432193
-1.285525322,-1.393983841,-0.130558372
-0.968712568,-1.498886108,-0.085481048
-0.244360268,-0.817890406,-0.014367677
0.350040019,-0.065503657,0.0921911
0.729374051,0.69697082,0.205097556
0.786174297,0.99808073,0.283071101
0.508181453,0.9456321,0.257376134
0.151552558,0.639243245,0.121824682
-0.261643887,0.045889512,-0.067497551
-0.438214719,-0.456741691,-0.219344199
-0.336205602,-0.793812871,-0.222184479
0.11313206,-0.592709184,-0.086425543
0.586812675,-0.060081765,0.087066233
0.763488054,0.478679359,0.19997257
0.484085321,0.717861414,0.190609992
-0.157547116,0.637896419,0.088722825
-0.865827322,0.291049302,-0.053857729
-1.345391273,-0.158309221,-0.200092137
-1.4041996,-0.637911916,-0.256918311
-1.131601334,-1.085103989,-0.251952589
-0.572168112,-1.301301956,-0.193012893
0.021962285,-1.301436424,-0.180749416
0.606629848,-0.945023417,-0.216397643
0.904092908,-0.451552331,-0.251754165
0.860098243,0.226204574,-0.20971328
0.581798732,0.633331597,-0.055532955
0.239186108,0.701630235,0.050407238
0.150869668,0.588249683,0.103656709
0.153408587,0.518108368,0.080349743
0.340983093,0.792695761,0.120439231
0.463451266,1.003192902,0.164598703
0.437780857,0.973029494,0.243620634
0.224655271,0.496835768,0.268734336
0.010050237,0.001847863,0.308651924
0.021946009,-0.350170553,0.38726908
0.094134033,-0.344440043,0.334753871
0.041520983,-0.125353038,0.209763527
